b_t;Afghanistan;-0.009331304
omt;Liberia;-0.017912663
pdr;Liberia;-0.051325087
sgr;Liberia;-0.028106795
v_f;Liberia;-0.058308798
vol;Liberia;-0.019880985
b_t;Lithuania;-0.005960252
cmt;Lithuania;-0.019401109
mil;Lithuania;-0.010951501
oap;Lithuania;-0.055313247
ofd;Lithuania;-0.010680547
omt;Lithuania;-0.018562729
pdr;Lithuania;-0.049328682
sgr;Lithuania;-0.014481232
v_f;Lithuania;-0.050138306
vol;Lithuania;-0.023378376
b_t;Madagascar;-0.018676346
cmt;Madagascar;-0.02059888
mil;Madagascar;-0.016654727
oap;Madagascar;-0.057501313
ofd;Madagascar;-0.018468843
omt;Madagascar;-0.019369854
pdr;Madagascar;-0.055108979
sgr;Madagascar;-0.019615679
v_f;Madagascar;-0.049745928
vol;Madagascar;-0.02348823
b_t;Malawi;-0.011422438
cmt;Malawi;-0.046408724
mil;Malawi;-0.011134469
oap;Malawi;-0.074900029
ofd;Malawi;-0.031674622
omt;Malawi;-0.043363504
pdr;Malawi;-0.052262554
sgr;Malawi;-0.01195785
v_f;Malawi;-0.049511308
vol;Malawi;-0.015041465
b_t;Maldives;-0.008975978
cmt;Maldives;-0.052580031
mil;Maldives;-0.034171991
oap;Maldives;-0.070911038
ofd;Maldives;-0.021708455
omt;Maldives;-0.044234258
pdr;Maldives;-0.055044395
sgr;Maldives;-0.047161567
v_f;Maldives;-0.051608553
vol;Maldives;-0.030034253
b_t;Mali;-0.005062536
cmt;Mali;-0.009296238
mil;Mali;-0.015596588
oap;Mali;-0.058768862
ofd;Mali;-0.020409441
omt;Mali;-0.017912663
pdr;Mali;-0.051325087
sgr;Mali;-0.028106795
v_f;Mali;-0.058308798
vol;Mali;-0.019880985
b_t;Mauritania;-0.005062536
cmt;Mauritania;-0.009296238
mil;Mauritania;-0.015596588
oap;Mauritania;-0.058768862
ofd;Mauritania;-0.020409441
omt;Mauritania;-0.017912663
pdr;Mauritania;-0.051325087
sgr;Mauritania;-0.028106795
v_f;Mauritania;-0.058308798
vol;Mauritania;-0.019880985
b_t;Mauritius;-0.004688296
cmt;Mauritius;-0.022411585
mil;Mauritius;-0.019159477
oap;Mauritius;-0.061468423
ofd;Mauritius;-0.013234724
omt;Mauritius;-0.017610416
pdr;Mauritius;-0.062774646
sgr;Mauritius;-0.037116155
v_f;Mauritius;-0.049066217
vol;Mauritius;-0.023413012
b_t;Mexico;-0.002252709
cmt;Mexico;-0.02407756
mil;Mexico;-0.01733097
oap;Mexico;-0.058832207
ofd;Mexico;-0.006416831
omt;Mexico;-0.033519055
pdr;Mexico;-0.048404629
sgr;Mexico;-0.013502141
v_f;Mexico;-0.04766888
vol;Mexico;-0.027323301
b_t;Moldova;-0.004674997
cmt;Moldova;-0.020088297
mil;Moldova;-0.013546292
oap;Moldova;-0.076306223
ofd;Moldova;-0.010726118
omt;Moldova;-0.038031116
pdr;Moldova;-0.055247303
sgr;Moldova;-0.016933526
v_f;Moldova;-0.05661721
vol;Moldova;-0.016519065
b_t;Mongolia;-0.004955813
cmt;Mongolia;-0.026677783
mil;Mongolia;-0.024077531
oap;Mongolia;-0.056995807
ofd;Mongolia;-0.013255192
omt;Mongolia;-0.025564096
pdr;Mongolia;-0.057694499
sgr;Mongolia;-0.023875038
v_f;Mongolia;-0.053088682
vol;Mongolia;-0.015797256
b_t;Montenegro;-0.004607122
cmt;Montenegro;-0.018591232
mil;Montenegro;-0.012906729
oap;Montenegro;-0.05716117
ofd;Montenegro;-0.007570477
omt;Montenegro;-0.019585216
pdr;Montenegro;-0.051709948
sgr;Montenegro;-0.012569699
v_f;Montenegro;-0.049796328
vol;Montenegro;-0.01343162
b_t;Morocco;-0.009388092
cmt;Morocco;-0.008469977
mil;Morocco;-0.018024517
oap;Morocco;-0.056280852
ofd;Morocco;-0.019109647
omt;Morocco;-0.012968829
pdr;Morocco;-0.050484702
sgr;Morocco;-0.025497661
v_f;Morocco;-0.049483588
vol;Morocco;-0.02259096
b_t;Mozambique;-0.009506982
cmt;Mozambique;-0.013081102
mil;Mozambique;-0.010004341
oap;Mozambique;-0.053018322
ofd;Mozambique;-0.01726425
omt;Mozambique;-0.019230635
pdr;Mozambique;-0.054783177
sgr;Mozambique;-0.020663336
v_f;Mozambique;-0.05006642
vol;Mozambique;-0.014859982
b_t;Namibia;-0.002156611
cmt;Namibia;-0.029120415
mil;Namibia;-0.00349169
oap;Namibia;-0.050944396
ofd;Namibia;-0.006719885
omt;Namibia;-0.036118627
pdr;Namibia;-0.049818797
sgr;Namibia;-0.007921057
v_f;Namibia;-0.048346227
vol;Namibia;-0.009861258
b_t;Nepal;-0.010797967
cmt;Nepal;-0.051582279
mil;Nepal;-0.029619473
oap;Nepal;-0.071474314
ofd;Nepal;-0.028420509
omt;Nepal;-0.04129014
pdr;Nepal;-0.05781642
sgr;Nepal;-0.029351821
v_f;Nepal;-0.051875645
vol;Nepal;-0.020833949
b_t;Nicaragua;-0.003335312
cmt;Nicaragua;-0.010813306
mil;Nicaragua;-0.029887124
oap;Nicaragua;-0.056342931
ofd;Nicaragua;-0.014963594
omt;Nicaragua;-0.035347612
pdr;Nicaragua;-0.059467157
sgr;Nicaragua;-0.026242567
v_f;Nicaragua;-0.049743777
vol;Nicaragua;-0.020957843
b_t;Niger;-0.005062536
cmt;Niger;-0.009296238
mil;Niger;-0.015596588
oap;Niger;-0.058768862
ofd;Niger;-0.020409441
omt;Niger;-0.017912663
pdr;Niger;-0.051325087
sgr;Niger;-0.028106795
v_f;Niger;-0.058308798
vol;Niger;-0.019880985
b_t;Nigeria;-0.018921125
cmt;Nigeria;-0.014605577
mil;Nigeria;-0.018513075
oap;Nigeria;-0.053847331
ofd;Nigeria;-0.01464796
omt;Nigeria;-0.024660382
pdr;Nigeria;-0.049459662
sgr;Nigeria;-0.024847984
v_f;Nigeria;-0.048721732
vol;Nigeria;-0.031423072
b_t;Pakistan;-0.016270929
cmt;Pakistan;-0.055714738
mil;Pakistan;-0.043706863
oap;Pakistan;-0.062252167
ofd;Pakistan;-0.035486085
omt;Pakistan;-0.051323493
pdr;Pakistan;-0.061750358
sgr;Pakistan;-0.062467935
v_f;Pakistan;-0.052970404
vol;Pakistan;-0.030176259
b_t;Papua New Guinea;-0.005796709
cmt;Papua New Guinea;-0.027287128
mil;Papua New Guinea;-0.024593926
oap;Papua New Guinea;-0.056160546
ofd;Papua New Guinea;-0.009484744
omt;Papua New Guinea;-0.02113186
pdr;Papua New Guinea;-0.051384095
sgr;Papua New Guinea;-0.022718703
v_f;Papua New Guinea;-0.050049982
vol;Papua New Guinea;-0.019695433
b_t;Peru;-0.003666326
cmt;Peru;-0.011723437
mil;Peru;-0.029613786
oap;Peru;-0.071681625
ofd;Peru;-0.01807639
omt;Peru;-0.028023918
pdr;Peru;-0.050388729
sgr;Peru;-0.025842797
v_f;Peru;-0.05366722
vol;Peru;-0.019041921
b_t;Philippines;-0.005854333
cmt;Philippines;-0.010112046
mil;Philippines;-0.013260213
oap;Philippines;-0.05492799
ofd;Philippines;-0.010685777
omt;Philippines;-0.031529997
pdr;Philippines;-0.050924517
sgr;Philippines;-0.03864717
v_f;Philippines;-0.048500774
vol;Philippines;-0.02237619
b_t;Romania;-0.009967095
cmt;Romania;-0.012327196
mil;Romania;-0.014515618
oap;Romania;-0.059266165
ofd;Romania;-0.01446712
omt;Romania;-0.021404039
pdr;Romania;-0.055101932
sgr;Romania;-0.013951046
v_f;Romania;-0.049421092
vol;Romania;-0.013469601
b_t;Russian Federation;-0.003676095
cmt;Russian Federation;-0.016479991
mil;Russian Federation;-0.004727692
oap;Russian Federation;-0.07310835
ofd;Russian Federation;-0.010071147
omt;Russian Federation;-0.010997414
pdr;Russian Federation;-0.050159765
sgr;Russian Federation;-0.023151081
v_f;Russian Federation;-0.049258219
vol;Russian Federation;-0.014306982
b_t;Rwanda;-0.020444664
cmt;Rwanda;-0.027890053
mil;Rwanda;-0.002890452
oap;Rwanda;-0.050091562
ofd;Rwanda;-0.010029877
omt;Rwanda;-0.011206535
pdr;Rwanda;-0.051938693
sgr;Rwanda;-0.027974679
v_f;Rwanda;-0.048864694
vol;Rwanda;-0.00985195
b_t;Sao Tome and Principe;-0.004774882
cmt;Sao Tome and Principe;-0.020459131
mil;Sao Tome and Principe;-0.011365005
oap;Sao Tome and Principe;-0.055760001
ofd;Sao Tome and Principe;-0.009733322
omt;Sao Tome and Principe;-0.024350259
pdr;Sao Tome and Principe;-0.060137002
sgr;Sao Tome and Principe;-0.035764199
v_f;Sao Tome and Principe;-0.048740735
vol;Sao Tome and Principe;-0.014071771
b_t;Senegal;-0.007432697
cmt;Senegal;-0.007248481
mil;Senegal;-0.023686398
oap;Senegal;-0.051683799
ofd;Senegal;-0.009697871
omt;Senegal;-0.027427713
pdr;Senegal;-0.061706428
sgr;Senegal;-0.011699363
v_f;Senegal;-0.049018161
vol;Senegal;-0.020329156
b_t;Serbia;-0.004607122
cmt;Serbia;-0.018591232
mil;Serbia;-0.012906729
oap;Serbia;-0.05716117
ofd;Serbia;-0.007570477
omt;Serbia;-0.019585216
pdr;Serbia;-0.051709948
sgr;Serbia;-0.012569699
v_f;Serbia;-0.049796328
vol;Serbia;-0.01343162
b_t;Sierra Leone;-0.005062536
cmt;Sierra Leone;-0.009296238
mil;Sierra Leone;-0.015596588
oap;Sierra Leone;-0.058768862
ofd;Sierra Leone;-0.020409441
omt;Sierra Leone;-0.017912663
pdr;Sierra Leone;-0.051325087
sgr;Sierra Leone;-0.028106795
v_f;Sierra Leone;-0.058308798
vol;Sierra Leone;-0.019880985
b_t;South Africa;-0.002998556
cmt;South Africa;-0.026162639
mil;South Africa;-0.007481189
oap;South Africa;-0.053951984
ofd;South Africa;-0.007321448
omt;South Africa;-0.031451614
pdr;South Africa;-0.048817693
sgr;South Africa;-0.007636557
v_f;South Africa;-0.047815606
vol;South Africa;-0.014282141
b_t;Sri Lanka;-0.003020292
cmt;Sri Lanka;-0.00715998
mil;Sri Lanka;-0.01061546
oap;Sri Lanka;-0.054199641
ofd;Sri Lanka;-0.015744748
omt;Sri Lanka;-0.02922346
pdr;Sri Lanka;-0.052096969
sgr;Sri Lanka;-0.030109232
v_f;Sri Lanka;-0.049124455
vol;Sri Lanka;-0.02150316
b_t;Swaziland;-0.003160059
cmt;Swaziland;-0.024384055
mil;Swaziland;-0.007546645
oap;Swaziland;-0.051834946
ofd;Swaziland;-0.007011531
omt;Swaziland;-0.03227304
pdr;Swaziland;-0.058330597
sgr;Swaziland;-0.008624758
v_f;Swaziland;-0.048553097
vol;Swaziland;-0.012110367
b_t;Tajikistan;-0.004312753
cmt;Tajikistan;-0.009121496
mil;Tajikistan;-0.061545461
oap;Tajikistan;-0.073122408
ofd;Tajikistan;-0.014797498
omt;Tajikistan;-0.030811169
pdr;Tajikistan;-0.134355758
sgr;Tajikistan;-0.056982895
v_f;Tajikistan;-0.070732421
vol;Tajikistan;-0.040826501
b_t;Tanzania;-0.009811837
cmt;Tanzania;-0.019889151
mil;Tanzania;-0.00610029
oap;Tanzania;-0.05372224
ofd;Tanzania;-0.029368407
omt;Tanzania;-0.001593307
pdr;Tanzania;-0.059564958
sgr;Tanzania;-0.022373748
v_f;Tanzania;-0.04871736
vol;Tanzania;-0.018309888
b_t;Thailand;-0.006210271
cmt;Thailand;-0.024320308
mil;Thailand;-0.016656304
oap;Thailand;-0.064229313
ofd;Thailand;-0.013923885
omt;Thailand;-0.03698851
pdr;Thailand;-0.049965731
sgr;Thailand;-0.024838176
v_f;Thailand;-0.051080135
vol;Thailand;-0.028773823
b_t;Timor Leste;-0.011180717
cmt;Timor Leste;-0.042245467
mil;Timor Leste;-0.01692708
oap;Timor Leste;-0.061586656
ofd;Timor Leste;-0.017715008
omt;Timor Leste;-0.049710837
pdr;Timor Leste;-0.053215829
sgr;Timor Leste;-0.025973689
v_f;Timor Leste;-0.049573618
vol;Timor Leste;-0.022340299
b_t;Togo;-0.013362315
cmt;Togo;-0.009280353
mil;Togo;-0.019052575
oap;Togo;-0.06154026
ofd;Togo;-0.021147454
omt;Togo;-0.025428238
pdr;Togo;-0.081795437
sgr;Togo;-0.026182089
v_f;Togo;-0.04981245
vol;Togo;-0.021104668
b_t;Turkey;-0.005904549
cmt;Turkey;-0.045790098
mil;Turkey;-0.017696118
oap;Turkey;-0.062841987
ofd;Turkey;-0.014620386
omt;Turkey;-0.038115096
pdr;Turkey;-0.073866582
sgr;Turkey;-0.015524262
v_f;Turkey;-0.048495776
vol;Turkey;-0.020299538
b_t;Uganda;-0.007162559
cmt;Uganda;-0.009576172
mil;Uganda;-0.043462845
oap;Uganda;-0.056174742
ofd;Uganda;-0.015315098
omt;Uganda;-0.016806812
pdr;Uganda;-0.050867494
sgr;Uganda;-0.046719308
v_f;Uganda;-0.052117878
vol;Uganda;-0.007997348
b_t;Ukraine;-0.005267247
cmt;Ukraine;-0.019483944
mil;Ukraine;-0.013839778
oap;Ukraine;-0.076524677
ofd;Ukraine;-0.011010785
omt;Ukraine;-0.040306404
pdr;Ukraine;-0.054893533
sgr;Ukraine;-0.018028923
v_f;Ukraine;-0.055944536
vol;Ukraine;-0.020137985
b_t;Vietnam;-0.00681781
cmt;Vietnam;-0.013548232
mil;Vietnam;-0.01832754
oap;Vietnam;-0.06682
ofd;Vietnam;-0.013689068
omt;Vietnam;-0.041686181
pdr;Vietnam;-0.052080174
sgr;Vietnam;-0.035021734
v_f;Vietnam;-0.050247329
vol;Vietnam;-0.028637939
b_t;Zambia;-0.003378547
cmt;Zambia;-0.021685849
mil;Zambia;-0.040072711
oap;Zambia;-0.06841347
ofd;Zambia;-0.018550191
omt;Zambia;-0.039890249
pdr;Zambia;-0.051573667
sgr;Zambia;-0.021363748
v_f;Zambia;-0.050165649
vol;Zambia;-0.011556096
